hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,drawdown_6h_label
2018-06-07 12:00:00,608.14,611.5,602.57,607.86,14865.694950000001,9028036.6778,15432,0
2018-06-07 18:00:00,607.7,609.61,598.24,605.16,11920.55616,7193956.6314,12522,0
2018-06-08 00:00:00,605.2,608.45,598.31,604.0,14843.16478,8970485.984199999,13969,0
2018-06-08 06:00:00,604.0,606.65,595.1,596.56,14429.32527,8660670.8597,14722,0
2018-06-08 12:00:00,596.56,602.94,593.33,600.67,13725.91655,8204938.125,13724,0
2018-06-08 18:00:00,601.27,602.77,595.64,598.68,6229.60095,3734663.414,7466,0
2018-06-09 00:00:00,599.29,608.97,598.51,606.5,10237.06383,6194427.7207,10975,0
2018-06-09 06:00:00,606.5,608.27,601.56,605.1,8686.80661,5258367.1808,8669,0
2018-06-09 12:00:00,605.39,605.98,596.1,598.6,11605.03688,6969260.2126,11921,0
2018-06-09 18:00:00,598.63,601.35,591.0,592.87,8379.15798,5003336.8653,8643,1
2018-06-10 00:00:00,592.44,592.87,566.87,572.31,32670.89226,18874119.792,29108,0
2018-06-10 06:00:00,572.3,574.27,557.31,567.06,28357.14625,16019576.798,23510,1
2018-06-10 12:00:00,566.67,571.18,529.17,533.67,46592.90405,25693560.016599998,34875,1
2018-06-10 18:00:00,535.0,541.71,501.13,524.11,82729.64173,43162470.632,57703,0
2018-06-11 00:00:00,524.64,535.51,509.0,530.92,35055.64259,18460756.067,31155,0
2018-06-11 06:00:00,530.92,534.37,515.68,533.54,40356.88576,21332888.099999998,28915,1
2018-06-11 12:00:00,533.54,534.0,508.66,516.98,38997.73101,20343639.445,31905,0
2018-06-11 18:00:00,516.98,534.2,509.01,531.69,31402.81883,16325711.258,25623,0
2018-06-12 00:00:00,531.08,533.27,520.0,531.29,32903.70132,17406479.882,26200,0
2018-06-12 06:00:00,531.29,538.88,526.73,531.87,29708.7545,15809576.342,23519,1
2018-06-12 12:00:00,532.34,532.9,514.5,515.75,32473.15506,16966203.253,25743,1
2018-06-12 18:00:00,516.09,517.0,482.0,493.0,63137.53724,31159321.343,45962,0
2018-06-13 00:00:00,493.0,501.97,488.41,492.84,26302.50008,13046899.239,20316,1
2018-06-13 06:00:00,492.86,495.49,461.0,476.01,58581.76671,27975617.734,40530,1
2018-06-13 12:00:00,476.0,480.99,449.06,473.35,65255.989369999996,30434691.917000003,46312,0
2018-06-13 18:00:00,473.4,479.89,463.86,475.47,31701.93801,14959177.744,27560,0
2018-06-14 00:00:00,475.47,495.24,468.67,486.2,45129.20357,21812927.764000002,33793,0
2018-06-14 06:00:00,486.2,490.5,479.68,487.95,27565.43578,13403352.66,24092,1
2018-06-14 12:00:00,487.95,526.88,460.0,512.86,88101.50365,43686655.732,64786,0
2018-06-14 18:00:00,512.12,529.0,511.1,519.29,45296.9303,23471453.839,33926,1
2018-06-15 00:00:00,519.3,521.0,501.0,505.07,29226.864869999998,14931107.606,23217,1
2018-06-15 06:00:00,505.07,512.29,489.39,495.64,44968.97933,22493778.787,32913,0
2018-06-15 12:00:00,495.63,512.04,485.5,501.1,51617.08326,25623269.935000002,39849,1
2018-06-15 18:00:00,501.05,501.68,481.62,487.48,34719.60861,17097818.525000002,26267,0
2018-06-16 00:00:00,487.47,500.49,484.0,497.65,32271.12489,15907525.92,22311,0
2018-06-16 06:00:00,497.65,502.98,493.36,497.46,28499.66725,14188005.828,22494,0
2018-06-16 12:00:00,497.46,503.28,483.72,500.01,42317.57102,20859132.913,31593,0
2018-06-16 18:00:00,499.92,502.95,493.52,496.74,28007.08857,13964522.396,19678,0
2018-06-17 00:00:00,496.45,507.6,496.17,502.22,31704.97699,15928144.661,23027,0
2018-06-17 06:00:00,502.21,507.12,498.0,500.95,27457.7355,13784544.761,23231,0
2018-06-17 12:00:00,500.89,503.0,494.12,499.23,30563.89414,15255060.607,23800,0
2018-06-17 18:00:00,499.16,503.45,492.7,497.14,27590.32558,13777368.684,22053,0
2018-06-18 00:00:00,497.15,497.83,487.27,493.66,31508.14961,15535984.326000001,25803,0
2018-06-18 06:00:00,493.66,499.94,489.53,492.67,26317.668230000003,13011103.553,26385,0
2018-06-18 12:00:00,492.42,524.48,492.41,517.47,53250.96919,26919890.206,41869,0
2018-06-18 18:00:00,517.52,520.62,512.49,517.95,32749.895689999998,16935493.264,25761,0
2018-06-19 00:00:00,517.77,521.11,513.88,516.49,21442.476000000002,11071079.8275,19167,0
2018-06-19 06:00:00,516.62,542.0,510.01,534.0,45324.549979999996,23770460.434,40493,0
2018-06-19 12:00:00,533.66,548.2,527.0,531.6,49612.07517,26577554.598,45651,0
2018-06-19 18:00:00,531.6,539.07,529.27,537.97,31769.27949,16963493.676,25466,1
2018-06-20 00:00:00,537.68,538.89,515.08,519.49,52310.79344,27300995.545,39947,0
2018-06-20 06:00:00,519.49,530.0,517.9,523.3,23412.74752,12275306.438,19680,0
2018-06-20 12:00:00,523.31,542.02,518.06,534.77,37553.14425,20037584.4008,29808,0
2018-06-20 18:00:00,534.79,537.0,531.41,536.49,10615.357189999999,5671907.2722,9887,0
2018-06-21 00:00:00,536.34,544.98,534.67,541.09,20380.47226,11005779.553,18303,0
2018-06-21 06:00:00,541.45,544.0,528.0,536.18,23103.2083,12384310.552,20408,0
2018-06-21 12:00:00,536.24,536.32,521.11,523.99,26168.46855,13834724.662,25765,0
2018-06-21 18:00:00,523.71,528.1,521.8,526.18,10210.75633,5361503.7326,12994,0
2018-06-22 00:00:00,526.32,526.44,510.48,513.44,23467.61251,12130915.587000001,23264,1
2018-06-22 06:00:00,513.44,515.0,483.5,486.99,60574.0579,30011480.064,43904,1
2018-06-22 12:00:00,486.92,487.3,461.3,473.0,66539.67469,31462511.039,48886,1
2018-06-22 18:00:00,472.18,482.66,450.0,462.09,62078.18927,28701868.124,50463,0
2018-06-23 00:00:00,462.4,475.09,460.06,463.82,26398.06683,12381317.443,26223,0
2018-06-23 06:00:00,463.82,477.0,455.0,472.59,31814.26942,14843132.18,26203,0
2018-06-23 12:00:00,472.61,473.9,462.83,472.82,21536.6374,10104107.395,18546,0
2018-06-23 18:00:00,473.32,481.0,470.49,473.41,14716.294689999999,6987822.4465,14425,1
2018-06-24 00:00:00,473.4,475.81,441.48,446.25,44884.37871,20505370.239,34001,1
2018-06-24 06:00:00,446.25,446.55,432.0,440.34,47677.8051,20979153.053,34648,1
2018-06-24 12:00:00,440.72,462.96,419.53,454.91,77314.75541,34131018.839,58635,0
2018-06-24 18:00:00,454.91,461.7,448.0,454.41,28387.16157,12889992.530000001,25480,0
2018-06-25 00:00:00,454.29,456.85,444.37,449.69,24441.03449,11016065.556,21763,0
2018-06-25 06:00:00,449.69,467.93,448.5,465.4,25183.11103,11497797.9739,27038,0
2018-06-25 12:00:00,465.22,474.47,452.91,463.53,58274.8727,26993358.583,47755,0
2018-06-25 18:00:00,463.53,465.63,456.0,458.7,15043.09828,6928840.3351,17164,0
2018-06-26 00:00:00,459.04,460.81,452.07,455.92,9200.14356,4192047.9060000004,9407,1
2018-06-26 12:00:00,455.39,455.95,440.51,444.69,39703.13318,17713871.9291,28458,1
2018-06-26 18:00:00,444.7,449.4,429.0,429.34,35099.823019999996,15402047.276999999,26386,0
2018-06-27 00:00:00,429.81,434.88,425.46,432.79,28356.92774,12197514.886,22955,0
